Context_post_signaller,Communication_number
Traveling,201648
Grooming,201865
Playing,200943
Grooming,201867
Playing,201689
Affiliating,201544a
Affiliating,202340
Resting,200944
Playing,201538
Grooming,201815
Resting,201685
Affiliating,201847
Traveling,201588
Playing,201539
Other,200953
Sexual interaction,202332a
Grooming,201866
Traveling,201878
Grooming,201681
Feeding,201881
Nursing,201291
Sexual interaction,201159
Affiliating,202299a
Playing,202421
Grooming,202248
Affiliating,202323a
Affiliating,201089
Grooming,201158
Grooming,201071
Affiliating,201110
Unknown,201062a
Affiliating,202265
Playing,201050
Grooming,201058
Playing,201145
Grooming,201146a
Playing,201051
Grooming,201317
Traveling,202264
Traveling,201234
Playing,201171a
Playing,201070
Sexual interaction,201098
Playing,201247
Traveling,202231a
Affiliating,202327a
Feeding,201262
Traveling,202235
Affiliating,202270a
Feeding,201302a
Grooming,201169
Resting,201271
Grooming,202195
Playing,201137
Agonistic interaction,201267
Resting,201066
Traveling,201140
Resting,201102a
Resting,202255
Resting,202262
Grooming,202224
Affiliating,201266
Playing,201272
Playing,201136
Playing,201064a
Sexual interaction,202237
Other,201118
Resting,201263
Traveling,202305
Nursing,201316
Resting,202301
Resting,201112
Grooming,202250
Playing,201273
Playing,202203
Other,201277a
Resting,201178
Grooming,201147
Playing,201099
Traveling,202308
Affiliating,202202
Playing,201249
Nursing,201150
Playing,201295a
Affiliating,201282
Playing,201087
Resting,201067
Playing,201101
Sexual interaction,202286
Other,201253
Sexual interaction,202218
Carrying,201109
Nursing,201311
Carrying,202254
Playing,201100
Traveling,201114
Resting,201131
Unknown,201248
Traveling,201275
Playing,201065
Sexual interaction,201297a
Resting,201074
Traveling,201106
Feeding,201287
Resting,201130
Playing,201068
Traveling,201285
Resting,201104
Traveling,202236
Sexual interaction,201223a
Nursing,201149
Traveling,202229
Unknown,201105
Affiliating,201163
Other,201148
Unknown,201299
Resting,201063
Traveling,202238
Grooming,201117
Resting,202306a
Traveling,201057
Other,201116
Traveling,201175
Grooming,202249
Resting,201177
Resting,201305
Playing,201144a
Carrying,201103
Sexual interaction,202201a
Grooming,201115
Sexual interaction,201312
Traveling,201176
Playing,201061
Playing,201059
Playing,201174a
Grooming,201167
Traveling,201217
Other,202258
Sexual interaction,201307a
Traveling,202298
Nursing,202253
Grooming,201288
Traveling,201294
Playing,201172
Playing,201166
Playing,202423
Grooming,201151
Grooming,201153
Affiliating,201160a
Resting,201268
Grooming,201170
Playing,201173a
Playing,201108
Resting,202267a
Affiliating,202269
Resting,202287
Resting,201162
Playing,201142
Resting,201280
Grooming,201165
Other,201053
Playing,201139
Grooming,201120
Grooming,201152
Playing,201107
Grooming,201156
Grooming,201069
Affiliating,201290
Playing,202433
Playing,202424a
Affiliating,201088a
Playing,201161a
Affiliating,201055a
Other,202242a
